Faixa etária;Eleitorado;Com deficiência;Voto obrigatório;Voto facultativo
100 anos ou mais;423;14;0;423
16 anos;5540;27;0;5540
17 anos;9739;49;0;9739
18 anos;15508;91;15494;14
19 anos;18656;120;18620;36
20 anos;22159;95;22111;48
21 a 24 anos;106428;428;106171;257
25 a 29 anos;139653;770;139209;444
30 a 34 anos;134330;842;133733;597
35 a 39 anos;135095;924;134032;1063
40 a 44 anos;131039;1037;129152;1887
45 a 49 anos;112602;1153;109739;2863
50 a 54 anos;101296;1149;97132;4164
55 a 59 anos;90565;1219;84619;5946
60 a 64 anos;71916;1104;65030;6886
65 a 69 anos;53370;931;46211;7159
70 a 74 anos;35623;775;0;35623
75 a 79 anos;22666;640;0;22666
80 a 84 anos;13526;503;0;13526
85 a 89 anos;6538;265;0;6538
90 a 94 anos;2895;138;0;2895
95 a 99 anos;1367;50;0;1367
Inválida;53;0;0;53
