Faixa etária;Eleitorado;Com biometria;Com biometria (%);Com nome social;Com deficiência;Voto obrigatório;Voto facultativo
100 anos ou mais;238;233;0,979;0;29;0;238
16 anos;10130;10130;1;4;283;0;10130
17 anos;13944;13943;0,9999;7;339;0;13944
18 anos;18360;18356;0,9998;8;475;18309;51
19 anos;20531;20500;0,9985;11;481;20484;47
20 anos;22169;19740;0,8904;16;430;22112;57
21 a 24 anos;93569;71870;0,7681;36;1453;93269;300
25 a 29 anos;125867;121217;0,9631;23;1037;125389;478
30 a 34 anos;129708;127548;0,9833;14;1207;129101;607
35 a 39 anos;128788;126682;0,9836;12;1241;127983;805
40 a 44 anos;130199;128436;0,9865;3;1373;128856;1343
45 a 49 anos;122622;121172;0,9882;5;1488;120472;2150
50 a 54 anos;106637;105561;0,9899;6;1667;103426;3211
55 a 59 anos;95592;94711;0,9908;3;1583;90983;4609
60 a 64 anos;83523;82850;0,9919;3;1575;77196;6327
65 a 69 anos;63022;62649;0,9941;0;1308;56353;6669
70 a 74 anos;45276;44999;0,9939;0;988;0;45276
75 a 79 anos;28335;28159;0,9938;0;749;0;28335
80 a 84 anos;16402;16274;0,9922;0;533;0;16402
85 a 89 anos;8096;8007;0,989;0;348;0;8096
90 a 94 anos;3155;3117;0,988;0;173;0;3155
95 a 99 anos;909;896;0,9857;0;69;0;909
Inválida;33;32;0,9697;0;0;0;33
