UF;Município;Cargo;Turno;Eleitorado apto;Eleitorado seções instaladas;Comparecimento;pc_comparecimento;Abstenções;pc_abstencoes;Quantitativo de votos;Votos a concorrentes;pc_votos_concorrentes;Votos válidos;pc_votos_validos;Votos nominais válidos;pc_votos_nominais;Votos nulos;pc_votos_nulos;Nulos técnicos;pc_votos_nulo_tecnico;Total votos nulos;pc_total_votos_nulos;Votos em branco;pc_votos_brancos;Votos legenda válidos;pc_votos_legenda;Total votos legenda válidos;Total votos anulados;pc_votos_anulados;Total de seções;Seções principais;pc_secoes_principais;Seções agregadas;pc_secoes_agregadas;Seções instaladas;pc_secoes_instalada
RO;ALTA FLORESTA D'OESTE;Deputado Estadual;1;19394;19394;14081;0,726;5313;0,274;14081;13250;0,941;13199;0,9962;12448;0,9431;288;0,9863;4;0,0137;292;0,0207;539;0,0383;751;0,0569;751;51;0,0038;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Deputado Federal;1;19394;19394;14081;0,726;5313;0,274;14081;13150;0,9339;13150;1;12555;0,9548;340;0,9971;1;0,0029;341;0,0242;590;0,0419;595;0,0452;595;0;0;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Governador;1;19394;19394;14081;0,726;5313;0,274;14081;12926;0,918;12926;1;12926;1;685;1;0;0;685;0,0486;470;0,0334;0;0;0;0;0;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Governador;2;19396;19396;14186;0,7314;5210;0,2686;14186;13410;0,9453;13410;1;13410;1;485;1;0;0;485;0,0342;291;0,0205;0;0;0;0;0;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Presidente;1;19397;19397;14084;0,7261;5313;0,2739;14084;13718;0,974;13718;1;13718;1;224;1;0;0;224;0,0159;142;0,0101;0;0;0;0;0;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Presidente;2;19399;19399;14189;0,7314;5210;0,2686;14189;13727;0,9674;13727;1;13727;1;336;1;0;0;336;0,0237;126;0,0089;0;0;0;0;0;80;72;0,9;8;0,1;72;1
RO;ALTA FLORESTA D'OESTE;Senador;1;19394;19394;14081;0,726;5313;0,274;14081;12659;0,899;12230;0,9661;12230;1;799;1;0;0;799;0,0567;623;0,0442;0;0;0;429;0,0339;80;72;0,9;8;0,1;72;1
RO;ALTO ALEGRE DOS PARECIS;Deputado Estadual;1;8354;8354;6461;0,7734;1893;0,2266;6461;6087;0,9421;6086;0,9998;5676;0,9326;147;0,98;3;0,02;150;0,0232;224;0,0347;410;0,0674;410;1;0,0002;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Deputado Federal;1;8354;8354;6461;0,7734;1893;0,2266;6461;6104;0,9447;6104;1;5879;0,9631;148;0,9673;5;0,0327;153;0,0237;204;0,0316;225;0,0369;225;0;0;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Governador;1;8354;8354;6461;0,7734;1893;0,2266;6461;5996;0,928;5996;1;5996;1;321;1;0;0;321;0,0497;144;0,0223;0;0;0;0;0;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Governador;2;8354;8354;6507;0,7789;1847;0,2211;6507;6180;0,9497;6180;1;6180;1;217;1;0;0;217;0,0333;110;0,0169;0;0;0;0;0;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Presidente;1;8354;8354;6461;0,7734;1893;0,2266;6461;6288;0,9732;6288;1;6288;1;116;1;0;0;116;0,018;57;0,0088;0;0;0;0;0;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Presidente;2;8354;8354;6507;0,7789;1847;0,2211;6507;6226;0,9568;6226;1;6226;1;208;1;0;0;208;0,032;73;0,0112;0;0;0;0;0;31;30;0,9677;1;0,0323;30;1
RO;ALTO ALEGRE DOS PARECIS;Senador;1;8354;8354;6461;0,7734;1893;0,2266;6461;5761;0,8917;5489;0,9528;5489;1;460;1;0;0;460;0,0712;240;0,0371;0;0;0;272;0,0472;31;30;0,9677;1;0,0323;30;1
RO;ALTO PARAÍSO;Deputado Estadual;1;11741;11741;8627;0,7348;3114;0,2652;8627;8262;0,9577;8261;0,9999;7818;0,9464;113;1;0;0;113;0,0131;252;0,0292;443;0,0536;443;1;0,0001;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Deputado Federal;1;11741;11741;8627;0,7348;3114;0,2652;8627;8195;0,9499;8195;1;7960;0,9713;138;0,9787;3;0,0213;141;0,0163;291;0,0337;235;0,0287;235;0;0;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Governador;1;11741;11741;8627;0,7348;3114;0,2652;8627;7894;0,915;7894;1;7894;1;429;1;0;0;429;0,0497;304;0,0352;0;0;0;0;0;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Governador;2;11745;11745;8613;0,7333;3132;0,2667;8613;8167;0,9482;8167;1;8167;1;249;1;0;0;249;0,0289;197;0,0229;0;0;0;0;0;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Presidente;1;11742;11742;8628;0,7348;3114;0,2652;8628;8406;0,9743;8406;1;8406;1;130;1;0;0;130;0,0151;92;0,0107;0;0;0;0;0;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Presidente;2;11746;11746;8614;0,7334;3132;0,2666;8614;8405;0,9757;8405;1;8405;1;129;1;0;0;129;0,015;80;0,0093;0;0;0;0;0;45;43;0,9556;2;0,0444;43;1
RO;ALTO PARAÍSO;Senador;1;11741;11741;8627;0,7348;3114;0,2652;8627;7767;0,9003;7428;0,9564;7428;1;442;1;0;0;442;0,0512;418;0,0485;0;0;0;339;0,0436;45;43;0,9556;2;0,0444;43;1
RO;ALVORADA DO OESTE;Deputado Estadual;1;11870;11870;8315;0,7005;3555;0,2995;8315;7885;0,9483;7860;0,9968;7390;0,9402;178;1;0;0;178;0,0214;252;0,0303;470;0,0598;470;25;0,0032;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Deputado Federal;1;11870;11870;8315;0,7005;3555;0,2995;8315;7904;0,9506;7904;1;7590;0,9603;179;0,9944;1;0,0056;180;0,0216;231;0,0278;314;0,0397;314;0;0;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Governador;1;11870;11870;8315;0,7005;3555;0,2995;8315;7645;0,9194;7645;1;7645;1;458;1;0;0;458;0,0551;212;0,0255;0;0;0;0;0;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Governador;2;11871;11871;8542;0,7196;3329;0,2804;8542;8076;0,9454;8076;1;8076;1;294;1;0;0;294;0,0344;172;0,0201;0;0;0;0;0;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Presidente;1;11870;11870;8315;0,7005;3555;0,2995;8315;8095;0,9735;8095;1;8095;1;142;1;0;0;142;0,0171;78;0,0094;0;0;0;0;0;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Presidente;2;11871;11871;8542;0,7196;3329;0,2804;8542;8239;0,9645;8239;1;8239;1;223;1;0;0;223;0,0261;80;0,0094;0;0;0;0;0;77;34;0,4416;43;0,5584;34;1
RO;ALVORADA DO OESTE;Senador;1;11870;11870;8315;0,7005;3555;0,2995;8315;7403;0,8903;6607;0,8925;6607;1;549;1;0;0;549;0,066;363;0,0437;0;0;0;796;0,1075;77;34;0,4416;43;0,5584;34;1
RO;ARIQUEMES;Deputado Estadual;1;69756;69756;51453;0,7376;18303;0,2624;51453;48150;0,9358;48031;0,9975;45969;0,9571;1099;0,9919;9;0,0081;1108;0,0215;2195;0,0427;2062;0,0429;2062;119;0,0025;272;261;0,9596;11;0,0404;261;1
RO;ARIQUEMES;Deputado Federal;1;69756;69756;51453;0,7376;18303;0,2624;51453;49018;0,9527;49018;1;47645;0,972;913;0,9913;8;0,0087;921;0,0179;1514;0,0294;1373;0,028;1373;0;0;272;261;0,9596;11;0,0404;261;1
