UF;Município;Eleitorado apto;Eleitorado seções instaladas;Comparecimento;pc_comparecimento;Abstenções;pc_abstencoes;Quantitativo de votos;Votos a concorrentes;pc_votos_concorrentes;Votos válidos;pc_votos_validos;Votos nominais válidos;pc_votos_nominais;Votos nulos;pc_votos_nulos;Total votos nulos;pc_total_votos_nulos;Votos em branco;pc_votos_brancos;Total de seções;Seções principais;pc_secoes_principais;Seções agregadas;pc_secoes_agregadas;Seções instaladas;pc_secoes_instalada
RO;ALTA FLORESTA D'OESTE;19397;19397;14084;0,7261;5313;0,2739;14084;13718;0,974;13718;1;13718;1;224;1;224;0,0159;142;0,0101;80;72;0,9;8;0,1;72;1
RO;ALTO ALEGRE DOS PARECIS;8354;8354;6461;0,7734;1893;0,2266;6461;6288;0,9732;6288;1;6288;1;116;1;116;0,018;57;0,0088;31;30;0,9677;1;0,0323;30;1
RO;ALTO PARAÍSO;11742;11742;8628;0,7348;3114;0,2652;8628;8406;0,9743;8406;1;8406;1;130;1;130;0,0151;92;0,0107;45;43;0,9556;2;0,0444;43;1
RO;ALVORADA DO OESTE;11870;11870;8315;0,7005;3555;0,2995;8315;8095;0,9735;8095;1;8095;1;142;1;142;0,0171;78;0,0094;77;34;0,4416;43;0,5584;34;1
RO;ARIQUEMES;69761;69761;51457;0,7376;18304;0,2624;51457;50246;0,9765;50246;1;50246;1;694;1;694;0,0135;517;0,01;272;261;0,9596;11;0,0404;261;1
RO;BURITIS;22959;22959;15865;0,691;7094;0,309;15865;15546;0,9799;15546;1;15546;1;204;1;204;0,0129;115;0,0072;79;76;0,962;3;0,038;76;1
RO;CABIXI;4781;4781;3592;0,7513;1189;0,2487;3592;3515;0,9786;3515;1;3515;1;48;1;48;0,0134;29;0,0081;24;14;0,5833;10;0,4167;14;1
RO;CACAULÂNDIA;3947;3947;2989;0,7573;958;0,2427;2989;2924;0,9783;2924;1;2924;1;44;1;44;0,0147;21;0,007;18;16;0,8889;2;0,1111;16;1
RO;CACOAL;66497;66497;51084;0,7682;15413;0,2318;51084;49866;0,9762;49866;1;49866;1;676;1;676;0,0132;542;0,0106;250;235;0,94;15;0,06;235;1
RO;CAMPO NOVO DE RONDÔNIA;7748;7748;5565;0,7182;2183;0,2818;5565;5456;0,9804;5456;1;5456;1;71;1;71;0,0128;38;0,0068;28;28;1;0;0;28;1
RO;CANDEIAS DO JAMARI;18894;18894;13704;0,7253;5190;0,2747;13704;13379;0,9763;13379;1;13379;1;211;1;211;0,0154;114;0,0083;65;60;0,9231;5;0,0769;60;1
RO;CASTANHEIRAS;3075;3075;2296;0,7467;779;0,2533;2296;2250;0,98;2250;1;2250;1;27;1;27;0,0118;19;0,0083;12;12;1;0;0;12;1
RO;CEREJEIRAS;12930;12930;10033;0,7759;2897;0,2241;10033;9799;0,9767;9799;1;9799;1;144;1;144;0,0144;90;0,009;61;49;0,8033;12;0,1967;49;1
RO;CHUPINGUAIA;7344;7344;5142;0,7002;2202;0,2998;5142;5030;0,9782;5030;1;5030;1;65;1;65;0,0126;47;0,0091;30;26;0,8667;4;0,1333;26;1
RO;COLORADO DO OESTE;13741;13741;9982;0,7264;3759;0,2736;9982;9707;0,9725;9707;1;9707;1;151;1;151;0,0151;124;0,0124;98;40;0,4082;58;0,5918;40;1
RO;CORUMBIARA;5621;5621;4405;0,7837;1216;0,2163;4405;4291;0,9741;4291;1;4291;1;59;1;59;0,0134;55;0,0125;29;24;0,8276;5;0,1724;24;1
RO;COSTA MARQUES;9511;9511;6889;0,7243;2622;0,2757;6889;6746;0,9792;6746;1;6746;1;92;1;92;0,0134;51;0,0074;37;36;0,973;1;0,027;36;1
