UF;nr_zona;Eleitorado apto;Eleitorado seções instaladas;Comparecimento;pc_comparecimento;Abstenções;pc_abstencoes;Quantitativo de votos;Votos a concorrentes;pc_votos_concorrentes;Votos válidos;pc_votos_validos;Votos nominais válidos;pc_votos_nominais;Votos nulos;pc_votos_nulos;Total votos nulos;pc_total_votos_nulos;Votos em branco;pc_votos_brancos;Total de seções;Seções principais;pc_secoes_principais;Seções agregadas;pc_secoes_agregadas;Seções instaladas;pc_secoes_instalada
RO;1;46177;46177;34357;0,744;11820;0,256;34357;33704;0,981;33704;1;33704;1;415;1;415;0,0121;238;0,0069;199;164;0,8241;35;0,1759;164;1
RO;2;111708;111708;88952;0,7963;22756;0,2037;88952;86549;0,973;86549;1;86549;1;1499;1;1499;0,0169;904;0,0102;404;370;0,9158;34;0,0842;370;1
RO;3;44282;44282;33066;0,7467;11216;0,2533;33066;32265;0,9758;32265;1;32265;1;445;1;445;0,0135;356;0,0108;196;151;0,7704;45;0,2296;151;1
RO;4;65454;65454;49961;0,7633;15493;0,2367;49961;48529;0,9713;48529;1;48529;1;837;1;837;0,0168;595;0,0119;242;208;0,8595;34;0,1405;208;1
RO;5;22067;22067;16271;0,7373;5796;0,2627;16271;15955;0,9806;15955;1;15955;1;181;1;181;0,0111;135;0,0083;82;81;0,9878;1;0,0122;81;1
RO;6;87737;87737;68215;0,7775;19522;0,2225;68215;66349;0,9726;66349;1;66349;1;1176;1;1176;0,0172;690;0,0101;326;297;0,911;29;0,089;297;1
RO;7;69761;69761;51457;0,7376;18304;0,2624;51457;50246;0,9765;50246;1;50246;1;694;1;694;0,0135;517;0,01;272;261;0,9596;11;0,0404;261;1
RO;8;25866;25866;18716;0,7236;7150;0,2764;18716;18252;0,9752;18252;1;18252;1;264;1;264;0,0141;200;0,0107;152;80;0,5263;72;0,4737;80;1
RO;9;29353;29353;22646;0,7715;6707;0,2285;22646;21928;0,9683;21928;1;21928;1;433;1;433;0,0191;285;0,0126;134;126;0,9403;8;0,0597;126;1
RO;10;43047;43047;30030;0,6976;13017;0,3024;30030;29197;0,9723;29197;1;29197;1;502;1;502;0,0167;331;0,011;165;133;0,8061;32;0,1939;133;1
RO;11;72498;72498;55717;0,7685;16781;0,2315;55717;54384;0,9761;54384;1;54384;1;756;1;756;0,0136;577;0,0104;276;254;0,9203;22;0,0797;254;1
RO;12;23900;23900;18241;0,7632;5659;0,2368;18241;17760;0,9736;17760;1;17760;1;283;1;283;0,0155;198;0,0109;96;86;0,8958;10;0,1042;86;1
RO;13;34427;34427;23991;0,6969;10436;0,3031;23991;23462;0,978;23462;1;23462;1;339;1;339;0,0141;190;0,0079;133;112;0,8421;21;0,1579;112;1
RO;15;23998;23998;18251;0,7605;5747;0,2395;18251;17833;0,9771;17833;1;17833;1;235;1;235;0,0129;183;0,01;92;80;0,8696;12;0,1304;80;1
RO;16;20539;20539;15946;0,7764;4593;0,2236;15946;15573;0,9766;15573;1;15573;1;219;1;219;0,0137;154;0,0097;98;81;0,8265;17;0,1735;81;1
RO;17;19397;19397;14084;0,7261;5313;0,2739;14084;13718;0,974;13718;1;13718;1;224;1;224;0,0159;142;0,0101;80;72;0,9;8;0,1;72;1
RO;18;21413;21413;15133;0,7067;6280;0,2933;15133;14719;0,9726;14719;1;14719;1;254;1;254;0,0168;160;0,0106;112;67;0,5982;45;0,4018;67;1
RO;19;22892;22892;17285;0,7551;5607;0,2449;17285;16847;0,9747;16847;1;16847;1;277;1;277;0,016;161;0,0093;105;79;0,7524;26;0,2476;79;1
RO;20;85723;85723;68014;0,7934;17709;0,2066;68014;66044;0,971;66044;1;66044;1;1247;1;1247;0,0183;723;0,0106;311;286;0,9196;25;0,0804;286;1
RO;21;90863;90863;69975;0,7701;20888;0,2299;69975;67928;0,9707;67928;1;67928;1;1262;1;1262;0,018;785;0,0112;298;290;0,9732;8;0,0268;290;1
RO;25;21824;21824;15933;0,7301;5891;0,2699;15933;15567;0,977;15567;1;15567;1;235;1;235;0,0147;131;0,0082;84;81;0,9643;3;0,0357;81;1
RO;26;18390;18390;13298;0,7231;5092;0,2769;13298;13033;0,9801;13033;1;13033;1;176;1;176;0,0132;89;0,0067;67;63;0,9403;4;0,0597;63;1
RO;27;15476;15476;11247;0,7267;4229;0,2733;11247;10963;0,9747;10963;1;10963;1;175;1;175;0,0156;109;0,0097;64;60;0,9375;4;0,0625;60;1
RO;28;20879;20879;15100;0,7232;5779;0,2768;15100;14785;0,9791;14785;1;14785;1;185;1;185;0,0123;130;0,0086;83;77;0,9277;6;0,0723;77;1
RO;29;40497;40497;29895;0,7382;10602;0,2618;29895;29023;0,9708;29023;1;29023;1;468;1;468;0,0157;404;0,0135;162;136;0,8395;26;0,1605;136;1
RO;30;63647;63647;48015;0,7544;15632;0,2456;48015;46902;0,9768;46902;1;46902;1;664;1;664;0,0138;449;0,0094;236;206;0,8729;30;0,1271;206;1
RO;32;30020;30020;21267;0,7084;8753;0,2916;21267;20867;0,9812;20867;1;20867;1;242;1;242;0,0114;158;0,0074;120;100;0,8333;20;0,1667;100;1
RO;34;30707;30707;21430;0,6979;9277;0,3021;21430;21002;0,98;21002;1;21002;1;275;1;275;0,0128;153;0,0071;107;104;0,972;3;0,028;104;1
RO;35;27456;27456;20334;0,7406;7122;0,2594;20334;19851;0,9762;19851;1;19851;1;280;1;280;0,0138;203;0,01;95;93;0,9789;2;0,0211;93;1
