UF;Município;Gênero;Grau de instrução;Cor / Raça;Faixa etária;Eleitorado;Com deficiência;Voto facultativo
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;30 a 34 anos;2;2;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;50 a 54 anos;5;1;5
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;55 a 59 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;60 a 64 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;65 a 69 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;70 a 74 anos;2;0;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;75 a 79 anos;2;0;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Branca;85 a 89 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;30 a 34 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;35 a 39 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;40 a 44 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;45 a 49 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;50 a 54 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;55 a 59 anos;4;0;4
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;60 a 64 anos;6;0;6
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Indígena;80 a 84 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;25 a 29 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;30 a 34 anos;4;2;4
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;35 a 39 anos;2;1;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;40 a 44 anos;9;5;9
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;45 a 49 anos;19;3;19
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;50 a 54 anos;30;5;30
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;55 a 59 anos;30;2;30
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;60 a 64 anos;64;1;64
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;65 a 69 anos;51;1;51
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;70 a 74 anos;75;4;75
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;75 a 79 anos;64;5;64
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;80 a 84 anos;47;2;47
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;85 a 89 anos;36;0;36
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;90 a 94 anos;12;1;12
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;NÃO INFORMADO;95 a 99 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;20 anos;1;1;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;30 a 34 anos;1;1;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;35 a 39 anos;5;4;5
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;45 a 49 anos;2;0;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;50 a 54 anos;1;0;1
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;55 a 59 anos;2;0;2
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;60 a 64 anos;11;0;11
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;65 a 69 anos;4;1;4
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;70 a 74 anos;6;0;6
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;75 a 79 anos;3;0;3
RO;ALTA FLORESTA D'OESTE;FEMININO;ANALFABETO;Parda;80 a 84 anos;1;0;1
