ANO_ELEICAO;NR_TURNO;DS_ELEICAO;DT_ELEICAO;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_COMPOSICAO_COLIGACAO;QT_VOTOS_NOMINAIS;NM_TIPO_DESTINACAO_VOTOS;QT_VOTOS_NOMINAIS_VALIDOS;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;582;SERINGUEIRAS;35;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;1;Válido;1;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;582;SERINGUEIRAS;35;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;29;Válido;29;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;8;Válido;8;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;193;Válido;193;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;620;CACAULÂNDIA;26;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;110;Válido;110;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;620;CACAULÂNDIA;26;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;141;Válido;141;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;531;CASTANHEIRAS;15;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;4;Válido;4;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;531;CASTANHEIRAS;15;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;6;Válido;6;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;574;MIRANTE DA SERRA;28;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;101;Válido;101;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;574;MIRANTE DA SERRA;28;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;25;Válido;25;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;744;NOVA UNIÃO;28;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;14;Válido;14;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;744;NOVA UNIÃO;28;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;69;Válido;69;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;175;OURO PRETO DO OESTE;13;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;110;Válido;110;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;175;OURO PRETO DO OESTE;13;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;83;Válido;83;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;701;PARECIS;19;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;2;Válido;2;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;701;PARECIS;19;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;4;Válido;4;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;6;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;121;Válido;121;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;21;7;Deputado Estadual;10222;RODRIGO CAMARGO RIBEIRO;DELEGADO RODRIGO CAMARGO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;55;Válido;55;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;21;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;551;Válido;551;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;20;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;946;Válido;946;2;ELEITO POR QP
2022;1;ELEIÇÕES GERAIS ESTADUAIS 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;2;7;Deputado Estadual;10100;ALEX MENDONÇA ALVES;ALEX REDANO;10;REPUBLICANOS;REPUBLICANOS;REPUBLICANOS;1215;Válido;1215;2;ELEITO POR QP
