ANO_ELEICAO;NR_TURNO;DS_ELEICAO;DT_ELEICAO;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;QT_VOTOS_NOMINAIS_VALIDOS
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;671;CAMPO NOVO DE RONDÔNIA;34;6;Deputado Federal;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;58
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;51;JI-PARANÁ;3;6;Deputado Federal;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;107
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;809;CHUPINGUAIA;8;6;Deputado Federal;Partido isolado;70;AVANTE;AVANTE;PARTIDO ISOLADO;AVANTE;4
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;19;GUAJARÁ-MIRIM;1;7;Deputado Estadual;Partido isolado;10;REPUBLICANOS;REPUBLICANOS;PARTIDO ISOLADO;REPUBLICANOS;744
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;51;JI-PARANÁ;3;3;Governador;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);68
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;116;PIMENTA BUENO;9;6;Deputado Federal;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;5193
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;256;ESPIGÃO DO OESTE;12;6;Deputado Federal;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;2422
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;795;SÃO FRANCISCO DO GUAPORÉ;5;6;Deputado Federal;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;462
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;256;ESPIGÃO DO OESTE;12;6;Deputado Federal;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);34
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;35;PORTO VELHO;6;6;Deputado Federal;Federação;50;PSOL;Partido Socialismo e Liberdade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);79
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;370;NOVA BRASILÂNDIA D OESTE;15;7;Deputado Estadual;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;7
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;795;SÃO FRANCISCO DO GUAPORÉ;5;7;Deputado Estadual;Partido isolado;19;PODE;Podemos;PARTIDO ISOLADO;PODE;43
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;396;MACHADINHO D OESTE;32;7;Deputado Estadual;Federação;13;PT;Partido dos Trabalhadores;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);407
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;604;MINISTRO ANDREAZZA;11;7;Deputado Estadual;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;434;NOVA MAMORÉ;1;7;Deputado Estadual;Federação;65;PC do B;Partido Comunista do Brasil;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);1
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;159;JARU;10;7;Deputado Estadual;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);1
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;7;Deputado Estadual;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);1
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;574;MIRANTE DA SERRA;28;7;Deputado Estadual;Federação;43;PV;Partido Verde;FEDERAÇÃO;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;7;Deputado Estadual;Partido isolado;55;PSD;Partido Social Democrático;PARTIDO ISOLADO;PSD;535
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;736;ALTO ALEGRE DOS PARECIS;19;7;Deputado Estadual;Partido isolado;55;PSD;Partido Social Democrático;PARTIDO ISOLADO;PSD;118
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;51;JI-PARANÁ;3;7;Deputado Estadual;Partido isolado;55;PSD;Partido Social Democrático;PARTIDO ISOLADO;PSD;4048
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;370;NOVA BRASILÂNDIA D OESTE;15;7;Deputado Estadual;Partido isolado;55;PSD;Partido Social Democrático;PARTIDO ISOLADO;PSD;1279
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;450;CABIXI;8;7;Deputado Estadual;Partido isolado;36;AGIR;AGIR;PARTIDO ISOLADO;AGIR;0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;213;COSTA MARQUES;5;7;Deputado Estadual;Partido isolado;36;AGIR;AGIR;PARTIDO ISOLADO;AGIR;9
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;51;JI-PARANÁ;30;6;Deputado Federal;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;775
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;418;SÃO MIGUEL DO GUAPORÉ;35;6;Deputado Federal;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;210
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;310;ALTA FLORESTA D OESTE;17;6;Deputado Federal;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;143
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;582;SERINGUEIRAS;35;6;Deputado Federal;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;154
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;680;CUJUBIM;26;6;Deputado Federal;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;2
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;531;CASTANHEIRAS;15;6;Deputado Federal;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;256;ESPIGÃO DO OESTE;12;6;Deputado Federal;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;5
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;337;ALVORADA DO OESTE;18;6;Deputado Federal;Partido isolado;77;SOLIDARIEDADE;Solidariedade;PARTIDO ISOLADO;SOLIDARIEDADE;3
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;647;RIO CRESPO;26;7;Deputado Estadual;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;310;ALTA FLORESTA D OESTE;17;7;Deputado Estadual;Federação;18;REDE;Rede Sustentabilidade;FEDERAÇÃO;Federação PSOL REDE(PSOL/REDE);26
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;612;GOVERNADOR JORGE TEIXEIRA;27;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);2431
2022;2;Eleições Gerais Estaduais 2022;30/10/2022;RO;RONDÔNIA;213;COSTA MARQUES;5;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);3097
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;78;ARIQUEMES;7;7;Deputado Estadual;Partido isolado;40;PSB;Partido Socialista Brasileiro;PARTIDO ISOLADO;PSB;507
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;191;PRESIDENTE MÉDICI;3;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);3999
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;736;ALTO ALEGRE DOS PARECIS;19;3;Governador;Coligação;44;UNIÃO;UNIÃO BRASIL;COMPROMISSO, TRABALHO E FÉ;UNIÃO / REPUBLICANOS / AVANTE / MDB / PATRIOTA / PSC / Federação PSDB Cidadania(PSDB/CIDADANIA);4144
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;590;THEOBROMA;27;7;Deputado Estadual;Federação;23;CIDADANIA;Cidadania;FEDERAÇÃO;Federação PSDB Cidadania(PSDB/CIDADANIA);0
2022;1;Eleições Gerais Estaduais 2022;02/10/2022;RO;RONDÔNIA;450;CABIXI;8;3;Governador;Coligação;77;SOLIDARIEDADE;Solidariedade;FRENTE DEMOCRATICA;Federação Brasil da Esperança - FE BRASIL(PT/PC do B/PV) / PSB / SOLIDARIEDADE / PDT;475
